,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
0,21.6,18000.0,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d",5559177,København,169900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Hovedstaden
1,20.4,254000.0,"Ford Ka 1,2 Trend 3d",4367512,Nordjylland,34900.0,Ford,Ka,2022-11-08 22:29:38.772658,11,1200.0,3d,veteran,Region Nordjylland
2,,51000.0,"Ford Mustang 4,7 V8 289cui. 2d",5506605,København,245000.0,Ford,Mustang,2022-11-08 22:29:38.772658,57,4700.0,2d,veteran,Region Hovedstaden
3,13.9,246000.0,"Toyota Avensis 1,8 VVT-i Sol stc. 5d",5518799,København,29999.0,Toyota,Avensis,2022-11-08 22:29:38.772658,18,1800.0,5d,veteran,Region Hovedstaden
4,17.9,97000.0,"Volvo V40 2,0 T2 122 Momentum Eco 5d",5604536,Nordjylland,199900.0,Volvo,V40,2022-11-08 22:29:38.772658,5,2000.0,5d,veteran,Region Nordjylland
5,16.9,139000.0,"Ford Focus 1,6 Ti-VCT 105 Trend 5d",5453000,Fyn,74900.0,Ford,Focus,2022-11-08 22:29:38.772658,10,1600.0,5d,veteran,Region Syddanmark
6,20.4,124000.0,"Ford B-MAX 1,0 SCTi 125 Titanium 5d",5575903,Syd- og Sønderjylland,119900.0,Ford,B-MAX,2022-11-08 22:29:38.772658,7,1000.0,5d,veteran,Region Syddanmark
7,15.4,136000.0,"Toyota Avensis 1,8 VVT-i T2 Premium Touring Sports 5d",5625031,Syd- og Vestsjælland,194900.0,Toyota,Avensis,2022-11-08 22:29:38.772658,6,1800.0,5d,veteran,Region Sjælland
8,26.8,10000.0,"Ford Fiesta 1,0 EcoBoost Titanium X 5d",5518776,Nordsjælland,169700.0,Ford,Fiesta,2022-11-08 22:29:38.772658,2,1000.0,5d,veteran,Region Sjælland
9,18.3,47000.0,"Ford Fiesta 1,5 EcoBoost ST3 5d",5529571,København,259900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Hovedstaden
10,28.9,32000.0,"Toyota Aygo 1,0 VVT-i x-style 5d",5604497,Østjylland,104900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Midtjylland
11,14.9,28000.0,"Toyota Corolla 1,4 Luna 4d",5391868,Syd- og Vestsjælland,89900.0,Toyota,Corolla,2022-11-08 22:29:38.772658,15,1400.0,4d,veteran,Region Sjælland
12,19.8,34000.0,"Ford Puma 1,0 EcoBoost Titanium DCT 5d",5604482,Syd- og Sønderjylland,279500.0,Ford,Puma,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Syddanmark
