,ALDER,KOMGRP,TID,INDHOLD
0,Alder i alt,Hele landet,2024,4139094
1,Alder i alt,Hovedstadskommuner,2024,1216678
2,Alder i alt,Storbykommuner,2024,590351
3,Alder i alt,Provinsbykommuner,2024,931291
4,Alder i alt,Oplandskommuner,2024,637015
5,Alder i alt,Landkommuner,2024,763759
6,Alder i alt,København,2024,523292
7,Alder i alt,Frederiksberg,2024,77388
8,Alder i alt,Dragør,2024,8887
9,Alder i alt,Tårnby,2024,29920
10,Alder i alt,Albertslund,2024,19150
11,Alder i alt,Ballerup,2024,35688
12,Alder i alt,Brøndby,2024,28222
13,Alder i alt,Gentofte,2024,49964
14,Alder i alt,Gladsaxe,2024,49452
15,Alder i alt,Glostrup,2024,17139
16,Alder i alt,Herlev,2024,20828
17,Alder i alt,Hvidovre,2024,36932
18,Alder i alt,Høje-Taastrup,2024,41684
19,Alder i alt,Ishøj,2024,16992
20,Alder i alt,Lyngby-Taarbæk,2024,40686
21,Alder i alt,Rødovre,2024,31086
22,Alder i alt,Vallensbæk,2024,12083
23,Alder i alt,Allerød,2024,16705
24,Alder i alt,Egedal,2024,30361
25,Alder i alt,Fredensborg,2024,27060
26,Alder i alt,Frederikssund,2024,31249
27,Alder i alt,Furesø,2024,27043
28,Alder i alt,Gribskov,2024,27164
29,Alder i alt,Halsnæs,2024,20707
30,Alder i alt,Helsingør,2024,42008
31,Alder i alt,Hillerød,2024,37646
32,Alder i alt,Hørsholm,2024,15372
33,Alder i alt,Rudersdal,2024,36583
34,Alder i alt,Bornholm,2024,24765
35,Alder i alt,Christiansø,2024,65
36,Alder i alt,Greve,2024,35120
37,Alder i alt,Køge,2024,43114
38,Alder i alt,Lejre,2024,19382
39,Alder i alt,Roskilde,2024,62736
40,Alder i alt,Solrød,2024,16101
41,Alder i alt,Faxe,2024,25751
42,Alder i alt,Guldborgsund,2024,38917
43,Alder i alt,Holbæk,2024,50280
44,Alder i alt,Kalundborg,2024,32516
45,Alder i alt,Lolland,2024,25317
46,Alder i alt,Næstved,2024,57826
47,Alder i alt,Odsherred,2024,20409
48,Alder i alt,Ringsted,2024,25497
49,Alder i alt,Slagelse,2024,55045
50,Alder i alt,Sorø,2024,20598
51,Alder i alt,Stevns,2024,15476
52,Alder i alt,Vordingborg,2024,29747
53,Alder i alt,Assens,2024,26822
54,Alder i alt,Faaborg-Midtfyn,2024,34220
55,Alder i alt,Kerteminde,2024,15507
56,Alder i alt,Langeland,2024,7490
57,Alder i alt,Middelfart,2024,26696
58,Alder i alt,Nordfyns,2024,19721
59,Alder i alt,Nyborg,2024,21408
60,Alder i alt,Odense,2024,151903
61,Alder i alt,Svendborg,2024,39341
62,Alder i alt,Ærø,2024,3601
63,Alder i alt,Billund,2024,18205
64,Alder i alt,Esbjerg,2024,78072
65,Alder i alt,Fanø,2024,1906
66,Alder i alt,Fredericia,2024,35900
67,Alder i alt,Haderslev,2024,37123
68,Alder i alt,Kolding,2024,65835
69,Alder i alt,Sønderborg,2024,49064
70,Alder i alt,Tønder,2024,23867
71,Alder i alt,Varde,2024,32615
72,Alder i alt,Vejen,2024,28698
73,Alder i alt,Vejle,2024,83360
74,Alder i alt,Aabenraa,2024,38645
75,Alder i alt,Favrskov,2024,32668
76,Alder i alt,Hedensted,2024,32491
77,Alder i alt,Horsens,2024,67043
78,Alder i alt,Norddjurs,2024,24432
79,Alder i alt,Odder,2024,15543
80,Alder i alt,Randers,2024,68394
81,Alder i alt,Samsø,2024,2247
82,Alder i alt,Silkeborg,2024,68027
83,Alder i alt,Skanderborg,2024,42544
84,Alder i alt,Syddjurs,2024,28370
85,Alder i alt,Aarhus,2024,277565
86,Alder i alt,Herning,2024,60745
