latitude,longitude,kommune,region,address,pris[DKK]
55.6759,12.5655,Brøndby,Region Hovedstaden,1,1325000.0
55.678,12.5907,København,Capital Region,1,17995000.0
55.6835,12.5776,København,Capital Region,1,9000000.0
55.6798,12.5773,København,Capital Region,1,4195000.0
55.6798,12.5747,København,Capital Region,2,8472500.0
55.6786,12.575,København,Capital Region,1,5245000.0
55.6809,12.5712,København,Capital Region,1,8350000.0
55.678,12.5753,København,Capital Region,1,6695000.0
55.6798,12.5935,København,Capital Region,1,8995000.0
55.6831,12.594,København,Capital Region,1,9995000.0
55.6811,12.5887,København,Capital Region,2,6845000.0
55.685,12.5879,København,Capital Region,2,10624500.0
55.686,12.5882,København,Capital Region,1,8495000.0
55.6846,12.5843,København,Capital Region,2,4822500.0
55.6878,12.5789,København,Capital Region,2,4395000.0
55.6866,12.5847,København,Capital Region,1,18500000.0
55.6872,12.5868,København,Capital Region,1,4250000.0
55.6875,12.5871,København,Capital Region,1,6295000.0
55.689,12.5829,København,Capital Region,1,5998000.0
55.6885,12.5848,København,Capital Region,1,16700000.0
55.6896,12.5726,København,Capital Region,1,6595000.0
55.6819,12.5701,København,Capital Region,1,6295000.0
55.6833,12.5655,København,Capital Region,1,3495000.0
55.6844,12.5671,København,Capital Region,1,12500000.0
55.683,12.5662,København,Capital Region,1,7995000.0
55.6833,12.5649,København,Capital Region,1,3450000.0
55.6831,12.5635,København,Capital Region,1,6895000.0
55.6833,12.563,København,Capital Region,1,3595000.0
55.6752,12.5922,København,Capital Region,1,7995000.0
55.6741,12.5946,Brøndby,Capital Region,1,1745000.0
55.6733,12.5903,København,Capital Region,4,7411250.0
55.671,12.5908,København,Capital Region,2,8047500.0
55.6716,12.5912,København,Capital Region,1,14800000.0
55.6732,12.5956,København,Capital Region,3,3995000.0
55.6764,12.5993,København,Capital Region,1,3995000.0
55.6878,12.6129,København,Capital Region,4,6570000.0
55.6865,12.6085,København,Capital Region,1,12500000.0
55.677,12.5714,København,Capital Region,1,6995000.0
55.6772,12.5709,København,Capital Region,1,7995000.0
55.6755,12.5735,København,Capital Region,2,8047500.0
55.6731,12.5748,København,Capital Region,1,6472469.0
55.6607,12.5628,København,Capital Region,1,7195000.0
55.6705,12.5741,København,Capital Region,1,12495000.0
55.672,12.5755,København,Capital Region,1,5749000.0
55.67,12.5713,København,Capital Region,1,7495000.0
55.673,12.5545,København,Capital Region,1,10980000.0
55.6736,12.551,København,Capital Region,1,13495000.0
55.6722,12.5507,København,Capital Region,3,6299302.666666667
55.6829,12.5561,København,Capital Region,1,7495000.0
55.6697,12.5549,København,Capital Region,1,3195000.0
55.6722,12.5637,København,Capital Region,3,6930000.0
55.6711,12.5568,København,Capital Region,1,5495000.0
55.6714,12.5518,København,Capital Region,1,4295000.0
55.6692,12.5499,København,Capital Region,1,5695000.0
55.6687,12.549,København,Capital Region,1,6995000.0
55.6699,12.5485,København,Capital Region,2,3245000.0
55.6667,12.5461,København,Capital Region,1,6495000.0
55.6685,12.5447,København,Capital Region,2,3472500.0
55.6695,12.5597,København,Capital Region,1,12500000.0
55.6713,12.5637,København,Capital Region,1,5250000.0
55.6647,12.5522,København,Capital Region,1,5495000.0
55.6654,12.5481,København,Capital Region,1,6995000.0
55.6663,12.5524,København,Capital Region,1,11850000.0
55.666,12.5548,København,Capital Region,2,4395000.0
55.6655,12.5542,København,Capital Region,3,4861666.666666667
55.6675,12.5376,København,Capital Region,1,12000000.0
55.6661,12.5347,København,Capital Region,9,8312777.777777778
55.6693,12.5342,Frederiksberg,Capital Region,2,10495000.0
55.6701,12.5335,Frederiksberg,Capital Region,2,9495000.0
55.6714,12.5333,Frederiksberg,Capital Region,4,6595000.0
55.6724,12.5358,Frederiksberg,Capital Region,2,39500000.0
55.6719,12.5397,Frederiksberg,Capital Region,2,7195000.0
55.6721,12.5375,Frederiksberg,Capital Region,2,27900000.0
55.6722,12.5387,Frederiksberg,Capital Region,2,6695000.0
